Name,Category,Value,
"Is Unsupported CLR","Collection","False",
"Is Lifetime","Collection","False",
"Is Managed","Collection","True",
"Is DHP Happened","Collection","False",
"Is Graceful Exit","Collection","True",
"Is JScript","Collection","False",
"Is UMS Application Terminated","Collection","False",
"Is 64 Bit","Collection","True",
"Is Concurrency","Collection","False",
"Is Sampling","Collection","True",
"Is TIP","Collection","False",
"Is Resource Contention","Collection","False",
"Is Instrumentation","Collection","False",
"Is Allocation","Collection","False",
"Is Visualizer","Collection","False",
"ETL File Signature","ETW","00000000-0000-0000-0000-000000000000",
"Kernel ETL File","ETW","",
"Application ETL File","ETW","",
"I/O Buffers","General","514",
"Creation Time","General","9/19/2011 4:50:33 PM",
"Size of Buffers","General","65536",
"CPU Family","Machine Information","15",
"CPU Model","Machine Information","6",
"CPU Architecture","Machine Information","Unknown",
"Number of CPUs","Machine Information","2",
"Machine Name","Machine Information","GERAMY-PC",
"CPU Stepping","Machine Information","3",
"Operating System Build Number","Machine Information","7600",
"Operating System Major Version","Machine Information","6",
"Operating System Minor Version","Machine Information","1",
"Clock Frequency","Machine Information","3055",
"CPU Type","Machine Information","Intel",
"Counter 0","Performance Counters","TimeStamp Counter",
"Total Processes","Process","1",
"Maximum Processes","Process","64",
"Process Highwater","Process","1",
"Number of Processes","Process","0",
"Samples (Kernel)","Sampling","5664",
"Samples (Overhead)","Sampling","60",
"Samples (Callback)","Sampling","5782",
"Callbacks (Stack Walks) ","Sampling","5778",
"Samples (Other)","Sampling","18048",
"Is SysCall Sampling","Sampling","False",
"Is Cycle Sampling","Sampling","True",
"Is PageFault Sampling","Sampling","False",
"Samples (Aborted)","Sampling","0",
"Samples (Broken)","Sampling","0",
"Is Performance Counter Sampling","Sampling","False",
"Sampling Interval","Sampling","10000000",
"Samples (Total)","Sampling","29550",
"Samples (Application)","Sampling","5778",
"Maximum Threads","Thread","512",
"Number of Threads","Thread","0",
"Total Threads","Thread","16",
"Thread Highwater","Thread","12",
"Minor File Version","Version Information","1",
"Minor Product Version","Version Information","0",
"Major File Version","Version Information","43",
"Version String","Version Information","10.0.30319 x64",
"Build Number","Version Information","30319",
"Major Product Version","Version Information","10",
